stateabbr,population,poverty_rate
AL,5028092,15.722492125943194
AK,734821,10.487625001219865
AZ,7172282,13.065050808119267
AR,3018669,16.228857632436906
CA,39356104,12.124320246167636
CO,5770790,9.553819024642115
CT,3611317,10.140715932971126
DE,993635,11.122978097670458
DC,670587,15.101881746931532
FL,21634529,12.873944935928622
GA,10722325,13.530059460373929
HI,1450589,9.609609821890578
ID,1854109,11.01173363290602
IL,12757634,11.763222409065586
IN,6784403,12.30361800145239
IA,3188836,11.108485305433897
KS,2935922,11.581155861637013
KY,4502935,16.11704673650374
LA,4640546,18.654776592546447
ME,1366949,10.943665595048795
MD,6161707,9.256502803961341
MA,6984205,9.9281159170337
MI,10057921,13.13491329111057
MN,5695292,9.262296155444911
MS,2958846,19.19687815143246
MO,6154422,12.820297552948102
MT,1091840,12.411913951666987
NE,1958939,10.398441171678073
NV,3104817,12.71182927732838
NH,1379610,7.325117866625276
NJ,9249063,9.681402453796407
NM,2112463,18.283786406923145
NY,19994379,13.60694005374913
NC,10470214,13.326107839513536
ND,776874,10.763530000959008
OH,11774683,13.305625102635451
OK,3970497,15.229635767011063
OR,4229374,11.910194035527306
PA,12989208,11.782103579482799
RI,1094250,11.222117744148303
SC,5142750,14.350287026131012
SD,890342,12.259809171566703
TN,6923772,13.959259708007147
TX,29243342,13.944421378427283
UT,3283809,8.51545504900004
VT,643816,10.427024998510172
VA,8624511,9.984590274700759
WA,7688549,9.89639170085106
WV,1792967,16.803664956131186
WI,5882128,10.650244360077476
WY,577929,10.660072149688444
