stateabbr,population,poverty_rate,median_income,gini,pct_black,pct_hispanic,pct_no_vehicle,pct_no_internet,unemployment_rate,uninsured_pct,pct_bachelors_plus
AL,5028092,15.722492125943194,59609,0.4797,26.37861439289496,4.62217079560199,5.568165946770814,13.236789695574581,2.9661835796544964,9.5,27.2
AK,734821,10.487625001219865,86370,0.4304,3.183768564044849,7.4698463979663074,9.133582473446909,8.270796138832571,4.01308018494838,11.7,30.7
AZ,7172282,13.065050808119267,72581,0.461,4.5602919684418435,32.033221783527196,5.4869491693731165,8.315979929437603,3.22769848191066,10.8,31.8
AR,3018669,16.228857632436906,56335,0.4821,15.128952528415669,8.060539264159138,6.015905176607545,14.270705491365494,2.9803176907688864,8.8,24.7
CA,39356104,12.124320246167636,91905,0.4895,5.596557525104619,39.68362823718527,6.928111535284867,6.428750699731492,4.056897027143527,7.1,35.9
CO,5770790,9.553819024642115,87598,0.456,4.049913443393366,22.07257585183311,4.992792061961929,5.82929917069205,3.069115690493812,7.8,43.7
CT,3611317,10.140715932971126,90213,0.4992,10.672200751138712,17.37338483439698,8.546488987499707,7.613169745929762,3.8848674535901004,5.2,41.4
DE,993635,11.122978097670458,79325,0.4508,21.96641623936355,9.93282241466937,6.091516709511568,7.451156812339332,3.3669556385259107,6.0,34.5
DC,670587,15.101881746931532,101722,0.5171,44.30461670148691,11.507529970011348,35.708472536694266,8.239150054625775,5.076322647504135,3.4,62.6
FL,21634529,12.873944935928622,67917,0.4858,15.510890022149315,26.52372510628727,5.958047707525558,8.162624240717088,2.9725508377637846,12.3,32.3
GA,10722325,13.530059460373929,71355,0.4787,31.466570916289143,10.058051775151378,6.0006740166578405,9.600379071022605,3.300153183475281,12.9,33.6
HI,1450589,9.609609821890578,94814,0.4466,1.9760938487745323,10.962650344101602,8.088761040367345,7.6649183932416625,3.0515638064292463,3.9,34.7
ID,1854109,11.01173363290602,70214,0.4436,0.6893337986062308,13.064819813721847,3.7500573799500385,7.136585011912818,2.3530773475828837,9.7,30.2
IL,12757634,11.763222409065586,78433,0.4812,13.910141958924358,17.837978421390673,10.814486750318641,9.023798890709374,3.871388534218466,7.0,36.7
IN,6784403,12.30361800145239,67173,0.4517,9.444486125013505,7.531745976764647,6.155043947910684,10.568526633293086,2.8678328293976887,7.8,28.2
IA,3188836,11.108485305433897,70571,0.4431,3.782540086727571,6.542732206987126,5.610170687034498,10.01519991256756,2.54232392653177,4.8,30.3
KS,2935922,11.581155861637013,69747,0.4579,5.571707967718488,12.601492818950913,5.138272819477032,9.202836410173814,2.618752089223107,8.9,34.7
KY,4502935,16.11704673650374,60183,0.4768,7.998871846917622,4.008074733479386,6.736920765450494,11.506685312661451,3.009280819639412,5.9,26.5
LA,4640546,18.654776592546447,57852,0.4952,31.56055343487598,5.507627766215441,8.274229803587453,14.135222833525184,3.8627189090993084,8.1,26.1
ME,1366949,10.943665595048795,68251,0.4566,1.5929635999587402,1.8945842163826156,6.871582909895686,9.48994436132733,2.5055709360043625,7.1,34.1
MD,6161707,9.256502803961341,98461,0.4559,29.893112411868984,10.920756212523575,8.670890772020824,6.963518776389874,3.408409865295543,5.9,42.2
MA,6984205,9.9281159170337,96505,0.4878,7.141614543101183,12.58977936644185,11.932747049885169,7.050870213189006,3.5638995869683705,2.7,45.9
MI,10057921,13.13491329111057,68505,0.4642,13.5568672690907,5.472572313900656,7.179666636153917,9.495409743411054,3.700112668612601,5.2,31.1
MN,5695292,9.262296155444911,84313,0.4496,6.708734161479341,5.742444812311643,6.580439213058136,7.445993707798235,2.721848733383922,4.6,38.2
MS,2958846,19.19687815143246,52985,0.4834,37.23870725276003,3.2824621490946133,6.102371509423698,16.557311403418804,3.639862235221612,11.8,23.9
MO,6154422,12.820297552948102,65920,0.4661,11.274689970885975,4.550841654992134,6.588065690283298,10.394561497996197,2.685149669206612,9.5,31.2
MT,1091840,12.411913951666987,66341,0.4644,0.551912368112544,4.202172479484173,4.642534527850927,10.276020066814292,2.437452611347139,8.4,34.0
NE,1958939,10.398441171678073,71722,0.4525,4.775799552717057,11.780305563368742,5.054232533337455,8.641398080061414,2.098540086442336,7.8,33.5
NV,3104817,12.71182927732838,71646,0.4675,9.347507437636422,29.583353865944435,7.083015732109849,8.233512736847443,4.406203458526348,11.4,26.5
NH,1379610,7.325117866625276,90845,0.4426,1.5163705684939948,4.251491363501279,4.6340595396209245,6.516961527454707,2.372378476802574,5.8,39.0
NJ,9249063,9.681402453796407,97126,0.4811,13.117707166661098,21.228344968566006,11.279340531365305,7.462271993000911,4.118984683870495,7.5,42.3
NM,2112463,18.283786406923145,58722,0.4766,2.1251969856986843,49.781984347181464,5.761319403778302,14.549143017425067,3.5363970828806406,9.5,29.1
NY,19994379,13.60694005374913,81386,0.5147,15.059812560320077,19.484045991125807,28.965235557838408,9.348370699911092,3.90677676612164,5.2,38.8
NC,10470214,13.326107839513536,66186,0.4773,20.93992539216486,10.038075630545851,5.361524025925941,10.443136953039438,3.115323166252018,10.5,33.9
ND,776874,10.763530000959008,73959,0.4521,3.248017052958395,4.27212134786336,5.2312537886126025,9.500746786319125,1.9890067039853554,7.2,31.4
OH,11774683,13.305625102635451,66990,0.4664,12.30988554001836,4.200750032930823,7.435470104029559,9.835265652874009,3.1642708253728156,6.4,30.4
OK,3970497,15.229635767011063,61364,0.467,7.164166098098047,11.552357299350685,5.408051823359784,11.707999745191307,2.9483627276511637,13.9,27.3
OR,4229374,11.910194035527306,76632,0.461,1.8819097105150786,13.786106407236627,7.040754402665398,6.498512613041409,3.448357288818137,6.5,35.5
PA,12989208,11.782103579482799,73170,0.4731,10.838335947811444,8.122958690014048,10.561182749882695,10.394924492565742,3.371864288123237,5.6,33.8
RI,1094250,11.222117744148303,81370,0.462,6.179118117432031,16.741695225039983,9.041481286107274,8.7062345709004,3.7934677309767717,4.3,36.3
SC,5142750,14.350287026131012,63623,0.4772,25.78793447085703,6.200476398813864,5.718098844092068,11.744785809790493,3.0771028945805874,10.2,30.6
SD,890342,12.259809171566703,69457,0.445,2.1929775299828607,4.402465569410406,4.9991172668303046,10.22802991041682,2.08591947020627,9.5,30.4
TN,6923772,13.959259708007147,64035,0.4762,16.27458269856373,5.9594972220344635,5.318364481590192,11.557597097619983,3.099292339397339,10.1,29.7
TX,29243342,13.944421378427283,73035,0.4761,12.148334482426803,39.89037915023529,5.253297895735335,9.073754262525531,3.3747186365062976,17.6,32.3
UT,3283809,8.51545504900004,86833,0.4286,1.1484224569699395,14.642843112982515,3.917882536913623,4.506693990227875,2.316288691207269,8.8,36.1
VT,643816,10.427024998510172,74014,0.4486,1.2425910508592517,2.142382295562707,6.385363615162982,8.718940186114391,2.4847356485573364,4.1,41.7
VA,8624511,9.984590274700759,87249,0.4724,18.90373842644528,10.029728062263471,6.066248887462247,8.857654746098214,2.829624031056187,7.4,41.0
WA,7688549,9.89639170085106,90325,0.4637,3.9211169753876836,13.489580413677535,6.893999607957917,5.618117446141205,3.1728497637301216,6.4,38.0
WV,1792967,16.803664956131186,55217,0.4715,3.414842548691638,1.835505059490777,8.22607675548852,14.253254008155968,3.21653424410802,6.4,22.7
WI,5882128,10.650244360077476,72458,0.4436,6.176863203248892,7.326872179592147,6.267151187719749,9.31845467798645,2.205474797466997,5.4,32.0
WY,577929,10.660072149688444,72495,0.4476,0.8462977286137224,10.471528509557402,3.805155537334085,8.566511214745725,2.4869908409441708,11.6,29.0
