NAME,pop_total,pop_poverty,median_hh_income,gini_index,pop_nhwhite,pop_nhblack,pop_hispanic,hh_no_vehicle_owned,hh_total,hh_no_internet,pop_unemployed,pop_labor_force,state,stateabbr,pct_uninsured,pct_bachelors_plus,pct_poverty,pct_nhwhite,pct_nhblack,pct_hispanic,pct_no_vehicle,pct_no_internet,pct_unemployed
Alabama,5028092,768897,59609,0.4797,3247262,1318388,232407,36090,1933150,255887,120030,2345086,01,AL,9.5,27.2,15.292023296312001,64.58239029834776,26.220443062696546,4.62217079560199,1.86690117166283,13.236789695574581,5.118362396944078
Alaska,734821,75227,86370,0.4304,428802,22400,54890,10450,264376,21866,23035,383078,02,AK,11.7,30.7,10.23745919074169,58.354619696497515,3.048361437683463,7.4698463979663074,3.9527037249977304,8.270796138832571,6.0131357060442
Arizona,7172282,916876,72581,0.461,3801121,307726,2297513,44223,2739136,227786,186058,3490030,04,AZ,10.8,31.8,12.78360220638285,52.99737238440987,4.290489414666071,32.033221783527196,1.6144871959625224,8.315979929437603,5.331128958776858
Arkansas,3018669,475729,56335,0.4821,2103784,454728,243321,18633,1171694,167209,71601,1397075,05,AR,8.8,24.7,15.759561581610969,69.69243729604007,15.063857614067658,8.060539264159138,1.5902616212082676,14.270705491365494,5.125064867669954
California,39356104,4685272,91905,0.4895,13848294,2102510,15617930,204739,13315822,856041,1282055,20168662,06,CA,7.1,35.9,11.90481659465073,35.18715673685586,5.3422716842093925,39.68362823718527,1.5375618568647134,6.428750699731492,6.356668578213071
Colorado,5770790,540105,87598,0.456,3821584,221211,1273762,27786,2278044,132794,143483,3205413,08,CO,7.8,43.7,9.359290495755348,66.22289149319244,3.8332879900325607,22.07257585183311,1.219730610997856,5.82929917069205,4.476271856387929
Connecticut,3611317,355692,90213,0.4992,2308644,355970,627408,24059,1409807,107331,115050,1955341,09,CT,5.2,41.4,9.849370742031232,63.928035118490016,9.857068764663971,17.37338483439698,1.7065456477375982,7.613169745929762,5.883884192066755
Delaware,993635,107790,79325,0.4508,597532,213516,98696,6700,389000,28985,27315,505728,10,DE,6.0,34.5,10.84804782440232,60.13596541989765,21.48837349731038,9.93282241466937,1.7223650385604112,7.451156812339332,5.401124715261959
District of Columbia,670587,98039,101722,0.5171,243730,291880,77168,20745,315785,26018,28264,400930,11,DC,3.4,62.6,14.61987780854684,36.34576870711779,43.52604509183745,11.507529970011348,6.569343065693431,8.239150054625775,7.049609657546205
Florida,21634529,2725633,67917,0.4858,11242515,3232871,5738283,167258,8353441,681860,531896,10629693,12,FL,12.3,32.3,12.598531726759571,51.96561015957408,14.943107843947054,26.52372510628727,2.002264695471004,8.162624240717088,5.003869820134975
Georgia,10722325,1415573,71355,0.4787,5445155,3334095,1078457,57950,3946490,378878,280651,5406476,13,GA,12.9,33.6,13.202108684450433,50.783342232211766,31.094888468685664,10.058051775151378,1.4683934331519908,9.600379071022605,5.1910153674963135
Hawaii,1450589,135941,94814,0.4466,305224,26664,159023,11628,483906,37091,35913,760387,15,HI,3.9,34.7,9.371434637929834,21.04138387923802,1.8381498825649443,10.962650344101602,2.4029460267076663,7.6649183932416625,4.7229897407504335
Idaho,1854109,198788,70214,0.4436,1484468,11919,242236,9326,675323,48195,34154,912877,16,ID,9.7,30.2,10.721484011997138,80.0636855761986,0.6428424650330697,13.064819813721847,1.3809688104803184,7.136585011912818,3.7413583648180424
Illinois,12757634,1467893,78433,0.4812,7601615,1744151,2275704,127047,4968761,448371,397747,6697663,17,IL,7.0,36.7,11.505997115139062,59.58483367684008,13.671429984588052,17.837978421390673,2.5569150941250745,9.023798890709374,5.938593805033189
Indiana,6784403,810702,67173,0.4517,5238582,631919,510984,51077,2653596,280446,154602,3446205,18,IN,7.8,28.2,11.949496514284307,77.21507699350997,9.314290439409334,7.531745976764647,1.9248220151070472,10.568526633293086,4.486152158678895
Iowa,3188836,343141,70571,0.4431,2672930,117940,208637,18715,1290139,129210,64695,1695226,19,IA,4.8,30.3,10.760697633870164,83.82149473977339,3.6985282403986908,6.542732206987126,1.4506188868021197,10.01519991256756,3.816305318582891
Kansas,2935922,329870,69747,0.4579,2179129,157768,369970,13343,1148635,105707,60636,1533709,20,KS,8.9,34.7,11.235652718294286,74.2229868504681,5.373712244398863,12.601492818950913,1.1616396853656732,9.202836410173814,3.953553118616374
Kentucky,4502935,704758,60183,0.4768,3748657,355368,180481,36864,1769102,203565,108558,2147538,21,KY,5.9,26.5,15.65108090612012,83.24919191593926,7.891919381470085,4.008074733479386,2.0837690534519773,11.506685312661451,5.054997862668786
Louisiana,4640546,842038,57852,0.4952,2669166,1456107,255584,42140,1765264,249524,142144,2180175,22,LA,8.1,26.1,18.145235495995514,57.51836098597018,31.377924063246006,5.507627766215441,2.3871783483943476,14.135222833525184,6.519843590537457
Maine,1366949,145491,68251,0.4566,1249638,21093,25898,10972,580172,55058,28762,714333,23,ME,7.1,34.1,10.643484138764505,91.41804119978141,1.5430714679187008,1.8945842163826156,1.891163310190771,9.48994436132733,4.026413451429516
Maryland,6161707,558567,98461,0.4559,2989005,1815877,672905,47517,2318124,161423,168965,3331958,24,MD,5.9,42.2,9.065134061064573,48.509365992248576,29.470356185388237,10.920756212523575,2.0498040657014034,6.963518776389874,5.071042312057955
Massachusetts,6984205,672361,96505,0.4878,4809687,459848,879296,61167,2740995,193264,206164,3882906,25,MA,2.7,45.9,9.626879508834577,68.86520369891777,6.584113725184183,12.58977936644185,2.2315618963186727,7.050870213189006,5.309528482018365
Michigan,10057921,1293164,68505,0.4642,7394140,1346918,550427,91021,4009253,380695,302167,5018590,26,MI,5.2,31.1,12.857169985725678,73.51559034913875,13.39161443005965,5.472572313900656,2.2702732903111875,9.495409743411054,6.020954092683403
Minnesota,5695292,516284,84313,0.4496,4423442,377173,327049,31504,2256126,167991,123497,3116753,27,MN,4.6,38.2,9.065101490845421,77.66839698473757,6.622540161241952,5.742444812311643,1.396375911629049,7.445993707798235,3.962360828721429
Mississippi,2958846,548804,52985,0.4834,1653172,1098675,97123,23978,1121269,185652,85519,1344337,28,MS,11.8,23.9,18.547906852874398,55.87218800843302,37.13187506210191,3.2824621490946133,2.1384698943786016,16.557311403418804,6.361425743693731
Missouri,6154422,766582,65920,0.4661,4774137,688219,280078,42600,2458324,255532,132657,3107514,29,MO,9.5,31.2,12.455791949268347,77.57246740636245,11.182512346407185,4.550841654992134,1.7328879350321602,10.394561497996197,4.268910775623215
Montana,1091840,132329,66341,0.4644,923663,5248,45881,5605,443917,45617,21635,559429,30,MT,8.4,34.0,12.119816090269637,84.59691896248535,0.4806565064478312,4.202172479484173,1.262623418341717,10.276020066814292,3.867336158833382
Nebraska,1958939,198466,71722,0.4525,1509776,91357,230769,8816,776379,67090,32157,1054285,31,NE,7.8,33.5,10.131300668372011,77.07110839081768,4.663595956790895,11.780305563368742,1.135527880068884,8.641398080061414,3.050124017699199
Nevada,3104817,389456,71646,0.4675,1439924,278689,918509,16411,1163671,95811,109909,1578524,32,NV,11.4,26.5,12.543605629574948,46.377097265313864,8.976020164795543,29.583353865944435,1.4102783346839443,8.233512736847443,6.962770284138854
New Hampshire,1379610,98162,90845,0.4426,1217710,18477,58654,7127,545116,35525,27426,770353,33,NH,5.8,39.0,7.11519922296881,88.26479947231464,1.3392915389131712,4.251491363501279,1.3074281437345445,6.516961527454707,3.560186044579563
New Jersey,9249063,879179,97126,0.4811,4900415,1147770,1963423,80750,3438162,256565,307824,4939081,34,NJ,7.5,42.3,9.505600729500923,52.98282647658471,12.40958138137885,21.228344968566006,2.348638603998299,7.462271993000911,6.232414491683777
New Mexico,2112463,378651,58722,0.4766,752424,37996,1051626,16760,812852,118263,59989,976697,35,NM,9.5,29.1,17.92462163834349,35.61832798965,1.798658722069925,49.781984347181464,2.0618759626598693,14.549143017425067,6.142027670812954
New York,19994379,2655662,81386,0.5147,10761815,2767223,3895714,407977,7604523,710899,638401,10279583,36,NY,5.2,38.8,13.28204291816215,53.82420229205418,13.840004733330302,19.484045991125807,5.364925584418641,9.348370699911092,6.210378378189076
North Carolina,10470214,1357418,66186,0.4773,6455988,2161841,1051008,63797,4105232,428715,263374,5290874,37,NC,10.5,33.9,12.964567868431342,61.66051620339374,20.647534042761684,10.038075630545851,1.554041281954345,10.443136953039438,4.977892121415101
North Dakota,776874,80810,73959,0.4521,644419,24882,33189,3260,320038,30406,12191,423612,38,ND,7.2,31.4,10.40194420201989,82.9502596302618,3.2028359811243523,4.27212134786336,1.018629037801761,9.500746786319125,2.877869371028205
Ohio,11774683,1526507,66990,0.4664,9094774,1431238,494625,94822,4789408,471051,300192,5998649,39,OH,6.4,30.4,12.964315047802137,77.24007516805335,12.155214709389629,4.200750032930823,1.9798271519152262,9.835265652874009,5.004326807586175
Oklahoma,3970497,585991,61364,0.467,2529927,277702,458686,20715,1522711,178279,92216,1915098,40,OK,13.9,27.3,14.75863097239464,63.71814410135557,6.994137006022168,11.552357299350685,1.3604025977352237,11.707999745191307,4.815210500976973
Oregon,4229374,494158,76632,0.461,3100790,75790,583066,25460,1680800,109227,119746,2169277,41,OR,6.5,35.5,11.683951336533491,73.3155781446616,1.7919909660389457,13.786106407236627,1.5147548786292242,6.498512613041409,5.520088029329588
Pennsylvania,12989208,1482439,73170,0.4731,9671148,1347784,1055108,166636,5193727,539884,358729,6689654,42,PA,5.6,33.8,11.412851345516986,74.45525547054139,10.376183059044093,8.122958690014048,3.2084089132909757,10.394924492565742,5.362444754242895
Rhode Island,1094250,118033,81370,0.462,764160,58304,183196,7404,432219,37630,34616,592606,44,RI,4.3,36.3,10.786657527987206,69.83413296778616,5.328215672835276,16.741695225039983,1.7130204826719788,8.7062345709004,5.841317840183866
South Carolina,5142750,717849,63623,0.4772,3240171,1316074,318875,39583,2023085,237607,128211,2517626,45,SC,10.2,30.6,13.958465801370862,63.0046375966166,25.590860920713627,6.200476398813864,1.956566333100191,11.744785809790493,5.092535587096733
South Dakota,890342,105542,69457,0.445,718056,19172,39197,3985,351182,35919,14552,471697,46,SD,9.5,30.4,11.854096515720926,80.64945829804726,2.1533298440374598,4.402465569410406,1.1347392520117774,10.22802991041682,3.0850312806738223
Tennessee,6923772,943583,64035,0.4762,5024964,1116871,412622,40941,2713635,313631,172829,3450165,47,TN,10.1,29.7,13.628163954561185,72.5755267504476,16.130961562570228,5.9594972220344635,1.5087143259870985,11.557597097619983,5.009296656826558
Texas,29243342,3990326,73035,0.4761,11732834,3449557,11665280,138749,10490553,951887,766007,14784312,48,TX,17.6,32.3,13.645246155518066,40.12138557898068,11.796042326489223,39.89037915023529,1.3226090178468188,9.073754262525531,5.181215060937567
Utah,3283809,275188,86833,0.4286,2521231,34485,480843,13468,1062819,47898,56860,1702399,49,UT,8.8,36.1,8.38014634834121,76.7776384071059,1.050152429693688,14.642843112982515,1.2671960136203813,4.506693990227875,3.3399925634354815
Vermont,643816,64739,74014,0.4486,588638,7548,13793,4418,265858,23180,13466,351783,50,VT,4.1,41.7,10.055512755197137,91.42953887446103,1.172384656485704,2.142382295562707,1.66178937628358,8.718940186114391,3.8279280124394868
Virginia,8624511,836686,87249,0.4724,5172397,1601668,865015,55151,3289776,291397,197001,4570843,51,VA,7.4,41.0,9.701257265484385,59.9732205107049,18.57111666968713,10.029728062263471,1.6764363287956383,8.857654746098214,4.309948952523637
Washington,7688549,747538,90325,0.4637,5038521,290907,1037153,40914,2979272,167379,197009,4010799,53,WA,6.4,38.0,9.722744824803744,65.53279428927357,3.7836397999154325,13.489580413677535,1.3732885080650574,5.618117446141205,4.911963925392421
West Virginia,1792967,291860,55217,0.4715,1625416,60237,32910,21875,716040,102059,47503,786112,54,WV,6.4,22.7,16.278046389030028,90.65509850432272,3.359626808524641,1.835505059490777,3.054996927545947,14.253254008155968,6.042777619474069
Wisconsin,5882128,611661,72458,0.4436,4698967,356150,430976,35340,2425488,226018,105086,3129606,55,WI,5.4,32.0,10.398634643788778,79.88549382128373,6.054781534845892,7.326872179592147,1.457026379846035,9.31845467798645,3.3578028671979796
Wyoming,577929,60134,72495,0.4476,476921,4488,60518,3193,234156,20059,11456,302838,56,WY,11.6,29.0,10.405084361573827,82.52242057415357,0.7765659795580426,10.471528509557402,1.363620833973932,8.566511214745725,3.782880616038938
