stateabbr,endo_count,amc_count,has_ctsa,pop_total,endo_per_100k
AK,13,0,0,734821,1.769138334369867
AL,109,0,1,5028092,2.167820318323531
AR,71,2,0,3018669,2.3520299840757635
AZ,203,0,1,7172282,2.83034046904458
CA,1400,0,1,39356104,3.557262680269368
CO,172,0,1,5770790,2.9805277960209953
CT,265,0,1,3611317,7.338043157108612
DC,81,0,1,670587,12.078969619154561
DE,48,0,0,993635,4.83074770916886
FL,718,1,1,21634529,3.31876880703065
GA,326,0,1,10722325,3.0403853641817427
HI,28,0,1,1450589,1.9302504017333648
IA,64,0,1,3188836,2.0070019279762272
ID,25,0,0,1854109,1.348356542145041
IL,585,1,1,12757634,4.585489754604969
IN,223,0,1,6784403,3.286950966798405
KS,69,0,1,2935922,2.3501986769403276
KY,130,0,1,4502935,2.887005919472522
LA,120,0,1,4640546,2.585902607150107
MA,636,0,1,6984205,9.106261915278832
MD,395,0,1,6161707,6.410561229217813
ME,47,0,0,1366949,3.43831408487076
MI,350,0,1,10057921,3.479844393289627
MN,241,0,1,5695292,4.231565299900339
MO,255,0,1,6154422,4.1433622848741924
MS,74,0,0,2958846,2.5009750422968953
MT,28,0,0,1091840,2.5644783118405625
NC,369,1,1,10470214,3.5242832667985584
ND,26,0,0,776874,3.3467460617809324
NE,53,0,1,1958939,2.7055462165999042
NH,77,0,1,1379610,5.581287465298164
NJ,490,0,1,9249063,5.297833953558323
NM,62,0,1,2112463,2.934962647866495
NV,108,0,0,3104817,3.4784658805977937
NY,1149,0,1,19994379,5.746615086169968
OH,430,0,1,11774683,3.651902985413705
OK,92,0,1,3970497,2.3170902786225502
OR,131,0,1,4229374,3.0973850976527495
PA,591,0,1,12989208,4.549930988863986
RI,51,0,1,1094250,4.660726525017135
SC,138,0,1,5142750,2.6833892372757764
SD,42,0,0,890342,4.717288412767228
TN,203,0,1,6923772,2.9319278566654132
TX,821,0,1,29243342,2.8074766557119224
UT,76,0,1,3283809,2.3143855199860894
VA,324,0,1,8624511,3.756734729655977
VT,26,0,1,643816,4.038420915292568
WA,250,0,1,7688549,3.2515888238469963
WI,229,0,1,5882128,3.893148874012942
WV,83,0,0,1792967,4.629198418041157
WY,8,0,0,577929,1.3842530829911635
